territoriality;year;pm10_concentration;pm10_tempcov;pm25_concentration;pm25_tempcov;no2_concentration;no2_tempcov;type_of_stations;number_of_stations;population;latitude;longitude;who_ms;Air_quality_category
"Eur#FIN;Finland#Tampere";2010;18,051;97,0;9,449;98,0;18,384;97,0;Somewhere;1,0;341582,0;61,5021066666666;23,7378769999999;1,0;Safety
"Eur#AUT;Austria#Tamsweg";2010;17,112;96,0;9,449;98,0;24,099;91,0;Somewhere;1,0;5628,0;47,1399995;13,655977;1,0;Safety
"Eur#ESP;Spain#Erandio";2010;23,824;95,0;9,449;98,0;30,366;97,0;Somewhere;1,0;24369,0;43,302778;-2,97722199999999;1,0;Safety
"Eur#FRA;France#Epinal";2010;23,824;95,0;9,449;98,0;18,549;99,0;Somewhere;1,0;32734,0;48,172778;6,45281099999999;1,0;Safety
"Eur#CHE;Switzerland#Tanikon";2010;16,271;100,0;9,449;98,0;14,17;100,0;Somewhere;1,0;8645,0;47,479767;8,90469599999999;1,0;Safety
"Eur#AUT;Austria#Enns";2010;28,26;100,0;9,449;98,0;53,113;94,0;Somewhere;1,0;11361,0;48,206944;14,454169;1,0;Safety
"Eur#GBR;UK#Enniskillen";2010;10,34;100,0;9,449;98,0;53,113;94,0;Somewhere;1,0;13790,0;54,4395099999999;-7,900328;1,0;Safety
"Eur#IRL;Ireland#Ennis";2010;27,493;83,0;11,756;94,0;53,113;94,0;Somewhere;1,0;20180,0;52,8430559999999;-8,998889;1,0;Safety
"Eur#ITA;Italy#Enna";2010;17,513;92,0;13,163;96,0;1,33;94,0;Somewhere;1,0;27894,0;37,549999;14,266666;1,0;Safety
"Eur#BEL;Belgium#Engis";2010;24,385;93,0;15,774;93,0;23,834;97,0;Somewhere;1,0;5762,0;50,584167;5,396155;1,0;Safety
"Eur#ITA;Italy#Empoli";2010;34,022;99,0;15,774;93,0;59,133;95,0;Somewhere;1,0;34394,0;43,7188909999999;10,9488889999999;1,0;Safety
"Eur#DEU;Germany#Erpfingen";2010;15,033;97,0;15,774;93,0;8,876;96,0;Somewhere;1,0;1120,0;48,345778;9,207639;1,0;Safety
"Amr#USA;USA#Dothan AL";2010;15,033;97,0;12,1;93,0;13,710999999999999;97,0;Somewhere;1,0;71072,0;31,2247830008368;-85,3907889999999;1,0;Safety
"Eur#ESP;Spain#Dos Hermanas";2010;15,033;97,0;15,956499999999998;93,0;18,546;98,0;Somewhere;1,0;136251,0;37,284489;-5,913839;1,0;Safety
"Eur#DEU;Germany#Dortmund";2010;29,122;96,0;19,813;99,0;47,686;93,0;Somewhere;1,0;589600,0;51,5281632857143;7,46689714285714;1,0;Safety
"Eur#FRA;France#Daix";2010;22,361;86,0;19,813;99,0;14,389;97,0;Somewhere;1,0;1397,0;47,345553;5,00222199999999;1,0;Safety
"Eur#ITA;Italy#Treviglio";2010;32,85;99,0;19,813;99,0;36,872;99,0;Somewhere;1,0;28410,0;45,5183329999999;9,59138899999999;1,0;Safety
"Wpr#KOR;Korea_Rep#Daejeon";2010;44,841;99,0;19,813;99,0;0,023;99,0;Somewhere;1,0;1531809,0;36,3540746913579;127,39922962963;1,0;Safety
"Wpr#KOR;Korea_Rep#Daegu";2010;52,156;99,0;19,813;99,0;0,027;99,0;Somewhere;1,0;2198962,0;35,8551121794871;128,579588247863;1,0;Safety
"Eur#ITA;Italy#Treviso";2010;36,097;93,0;19,813;99,0;40,032;91,0;Somewhere;1,0;373647,0;45,6725009999999;12,238611;1,0;Safety
"Eur#ITA;Italy#Trezzo Sull Adda";2010;35,878;90,0;19,813;99,0;30,229;94,0;Somewhere;1,0;11782,0;45,6172219999999;9,506389;1,0;Safety
"Eur#AUT;Austria#Dalaas";2010;29,3155;86,0;19,813;99,0;29,069;96,0;Somewhere;1,0;1647,0;47,127777;10,046956;1,0;Safety
"Eur#DEU;Germany#Trier";2010;22,753;82,0;16,62;100,0;38,934;94,0;Somewhere;1,0;100226,0;49,752159;6,64186949999999;1,0;Safety
"Eur#POL;Poland#Czerniawa";2010;18,591;84,0;16,62;100,0;7,284;92,0;Somewhere;1,0;74558,5;50,912475;15,312167;1,0;Safety
"Eur#DEU;Germany#Cuxhaven";2010;19,087;99,0;16,62;100,0;12,122;94,0;Somewhere;1,0;49093,0;53,83017;8,80122;1,0;Safety
"Eur#ITA;Italy#Trieste";2010;23,021;92,0;16,62;100,0;40,936;85,0;Somewhere;1,0;202123,0;45,6348733636363;13,7797474545454;1,0;Safety
"Eur#PRT;Portugal#Custoias";2010;27,585;99,0;16,62;100,0;9,41;97,0;Somewhere;1,0;18650,0;41,2008319999999;-8,645011;1,0;Safety
"Eur#FRA;France#Trignac";2010;22,547;85,0;16,62;100,0;18,087;96,0;Somewhere;1,0;7983,0;47,3188553333333;-2,191584;1,0;Safety
"Eur#POL;Poland#Czestochowa";2010;38,951;84,0;40,94;95,0;27,613;86,0;Somewhere;1,0;243807,0;50,8244527499999;19,12099125;1,0;Safety
"Amr#USA;USA#Trenton NJ";2010;38,951;84,0;9,5;95,0;20,6115;86,0;Somewhere;1,0;328513,0;40,222411;-74,7631669999999;1,0;Safety
"Amr#USA;USA#Dallas Fort Worth Arlington TX";2010;38,951;84,0;10,14;95,0;13,61;86,0;Somewhere;1,0;6300661,0;32,7684768461538;-96,901244;1,0;Safety
"Eur#ITA;Italy#Trento";2010;24,148;99,0;16,908;95,0;47,266;98,0;Somewhere;1,0;111940,0;46,0843044999999;11,1184724999999;1,0;Safety
"Eur#FRA;France#Tours";2010;23,49;99,0;16,908;95,0;33,389;94,0;Somewhere;1,0;360360,0;47,4071695;0,6943695;1,0;Safety
"Eur#TUR;Turkiye#Trabzon";2010;83,692;94,0;16,908;95,0;33,389;94,0;Somewhere;1,0;240333,0;41,0055539999999;39,730139;1,0;Safety
"Amr#USA;USA#Davenport Moline Rock Island IA IL";2010;32,05;94,0;12,2;95,0;33,389;94,0;Somewhere;1,0;101724,0;41,503107793325;-90,6333687301779;1,0;Safety
"Eur#AUT;Austria#Traffic To Remove";2010;28,6925;94,0;12,2;95,0;56,331;96,0;Somewhere;1,0;68102,5;47,4688909999999;11,958342;1,0;Safety
"Eur#DEU;Germany#Datteln";2010;25,335;98,0;12,2;95,0;21,707;94,0;Somewhere;1,0;34481,0;51,641384;7,331406;1,0;Safety
"Eur#AUT;Austria#Traismaier";2010;28,446;97,5;12,2;95,0;16,712;94,0;Somewhere;1,0;5919,0;48,3533329999999;15,746956;1,0;Safety
"Eur#ITA;Italy#Trapani";2010;23,056;97,0;12,2;95,0;11,879;93,0;Somewhere;1,0;69241,0;38,0230559999999;12,916389;1,0;Safety
"Eur#DEU;Germany#Darmstadt";2010;23,259;98,0;12,2;95,0;46,322;99,0;Somewhere;1,0;140563,0;49,8708779999999;8,6591815;1,0;Safety
"Eur#DEU;Germany#Trattendorf";2010;26,331;81,0;12,2;95,0;10,054;82,0;Somewhere;1,0;1751,0;51,534531;14,383492;1,0;Safety
"Eur#ITA;Italy#Darfo Boario Terme";2010;38,652;96,0;31,972;97,0;15,156500000000001;85,0;Somewhere;1,0;15524,0;45,8738859999999;10,1775009999999;1,0;Safety
"Eur#SVN;Slovenia#Trbovlje";2010;38,652;96,0;21,086;97,0;20,259;88,0;Somewhere;1,0;15163,0;46,1388889999999;15,035556;1,0;Safety
"Eur#CZE;Czechia#Trebic";2010;26,134;100,0;10,2;97,0;14,423;96,0;Somewhere;1,0;36998,0;49,2234419999999;15,865778;1,0;Safety
"Eur#SWE;Sweden#Trelleborg";2010;17,424;81,0;10,2;97,0;15,215;88,0;Somewhere;1,0;28290,0;55,373333;13,158061;1,0;Safety
"Eur#FRA;France#Damparis";2010;21,775;89,5;10,2;97,0;18,187;91,0;Somewhere;1,0;2629,0;47,0656389999999;5,415028;1,0;Safety
"Eur#FRA;France#Tremblay En France";2010;26,126;98,0;10,2;97,0;31,231;98,0;Somewhere;1,0;34452,0;48,955553;2,575278;1,0;Safety
"Eur#SVK;Slovakia#Trencin";2010;35,752;92,0;10,2;97,0;32,277;79,0;Somewhere;1,0;55877,0;48,8963889999999;18,0413929999999;1,0;Safety
